"State","DivisionId","DivisionAb","DivisionName","PartyAb","CandidateSurname","Votes"
"ACT",318,"BEAN","Bean","AUP","FAULKNER",2722
"ACT",318,"BEAN","Bean","LP","COCKS",29223
"ACT",318,"BEAN","Bean","GAP","RUSHTON",929
"ACT",318,"BEAN","Bean","LDP","DONNELLY",2540
"ACT",318,"BEAN","Bean","GRN","DAVIS",12168
"ACT",318,"BEAN","Bean","UAPP","HANLEY",2227
"ACT",318,"BEAN","Bean","ALP","SMITH",35447
"ACT",318,"BEAN","Bean","","Informal",5043
"ACT",318,"BEAN","Bean","IND","CHRISTIE",7683
"ACT",101,"CANB","Canberra","AUP","KNIGHT",1784
"ACT",101,"CANB","Canberra","GRN","HOLLO",20144
"ACT",101,"CANB","Canberra","","Informal",1904
"ACT",101,"CANB","Canberra","UAPP","DE MAINE",1361
"ACT",101,"CANB","Canberra","LP","ZAKI",24063
"ACT",101,"CANB","Canberra","ALP","PAYNE",34989
"ACT",101,"CANB","Canberra","IND","BOHM",4062
"ACT",102,"FENN","Fenner","","Informal",2669
"ACT",102,"FENN","Fenner","ALP","LEIGH",38864
"ACT",102,"FENN","Fenner","UAPP","HODGSON",3529
"ACT",102,"FENN","Fenner","GRN","BRADDOCK",12492
"ACT",102,"FENN","Fenner","LP","CASTLEY",30025
"ACT",102,"FENN","Fenner","AUP","RATLHAGANE",1723
"NSW",103,"BANK","Banks","ALP","GAMBIAN",33341
"NSW",103,"BANK","Banks","UAPP","WRIGHT",2029
"NSW",103,"BANK","Banks","AJP","THAKUR",1688
"NSW",103,"BANK","Banks","LP","COLEMAN",46709
"NSW",103,"BANK","Banks","CDP","HO",2624
"NSW",103,"BANK","Banks","","Informal",7115
"NSW",103,"BANK","Banks","GRN","DRAGONE",5339
"NSW",104,"BART","Barton","","Informal",9473
"NSW",104,"BART","Barton","ON","POLLARD",3288
"NSW",104,"BART","Barton","GRN","PARISSIS",8123
"NSW",104,"BART","Barton","ALP","BURNEY",44227
"NSW",104,"BART","Barton","UAPP","LIU",2057
"NSW",104,"BART","Barton","LP","SHRESTHA",30109
"NSW",104,"BART","Barton","CDP","SUSILO",2103
"NSW",105,"BENN","Bennelong","LP","ALEXANDER",48942
"NSW",105,"BENN","Bennelong","CDP","WORSLEY",3588
"NSW",105,"BENN","Bennelong","","Informal",5237
"NSW",105,"BENN","Bennelong","GRN","ZHANG",9116
"NSW",105,"BENN","Bennelong","ALP","OWLER",32769
"NSW",105,"BENN","Bennelong","UAPP","MARKS",1890
"NSW",106,"BERO","Berowra","","Informal",6423
"NSW",106,"BERO","Berowra","IND","GALLAGHER",2104
"NSW",106,"BERO","Berowra","IND","WOODWARD",495
"NSW",106,"BERO","Berowra","FUT","CLARKE",1465
"NSW",106,"BERO","Berowra","SPP","THOMAS",1425
"NSW",106,"BERO","Berowra","ALP","GOMPERTZ",19821
"NSW",106,"BERO","Berowra","GRN","TAN",11157
"NSW",106,"BERO","Berowra","UAPP","McLACHLAN",1576
"NSW",106,"BERO","Berowra","LP","LEESER",53741
"NSW",106,"BERO","Berowra","CDP","TAYLOR",2163
"NSW",107,"BLAX","Blaxland","","Informal",12401
"NSW",107,"BLAX","Blaxland","GRN","ROONEY",4329
"NSW",107,"BLAX","Blaxland","ALP","CLARE",46689
"NSW",107,"BLAX","Blaxland","UAPP","ASHRAF",2328
"NSW",107,"BLAX","Blaxland","LP","GUNEY",23289
"NSW",107,"BLAX","Blaxland","CDP","ROWE",4173
"NSW",108,"BRFD","Bradfield","","Informal",4056
"NSW",108,"BRFD","Bradfield","GRN","ADAMS",13177
"NSW",108,"BRFD","Bradfield","ALP","HAVILAND",20361
"NSW",108,"BRFD","Bradfield","SPP","MOLLOY",2826
"NSW",108,"BRFD","Bradfield","UAPP","VERSACE",1772
"NSW",108,"BRFD","Bradfield","LP","FLETCHER",58007
"NSW",109,"CALA","Calare","","Informal",6251
"NSW",109,"CALA","Calare","ASP","ROMANO",18129
"NSW",109,"CALA","Calare","NP","GEE",46632
"NSW",109,"CALA","Calare","GRN","LUKE",6315
"NSW",109,"CALA","Calare","ALP","JENNINGS",23074
"NSW",109,"CALA","Calare","LDP","BISGROVE",4775
"NSW",109,"CALA","Calare","UAPP","CAMERON",3371
"NSW",109,"CALA","Calare","CDP","CHEN",1992
"NSW",111,"CHIF","Chifley","","Informal",9728
"NSW",111,"CHIF","Chifley","IND","KHAN",1581
"NSW",111,"CHIF","Chifley","GRN","ROBERTSON",4604
"NSW",111,"CHIF","Chifley","ALP","HUSIC",49418
"NSW",111,"CHIF","Chifley","UAPP","O'CONNOR",4133
"NSW",111,"CHIF","Chifley","LP","CHETTIPALLY",25411
